,#_bank_accounts_open,#_credit_cards_held,#_homes_owned,household_size,average_balance,offer_accepted_Yes,mailer_type_Postcard,overdraft_protection_Yes,own_your_home_Yes,reward_Air Miles,reward_Cash Back,reward_Points,income_level_High,income_level_Low,income_level_Medium,credit_rating_High,credit_rating_Low,credit_rating_Medium
28,1,1,1,3,709.0,0,1,1,1,0,1,0,0,0,1,0,1,0
29,1,1,1,1,690.0,0,1,0,1,0,0,1,1,0,0,0,0,1
30,1,2,1,3,863.25,0,0,0,0,0,0,1,0,0,1,1,0,0
31,2,1,1,5,733.0,0,1,0,1,0,1,0,0,1,0,0,1,0
32,1,2,2,4,771.0,0,1,0,0,0,0,1,0,1,0,1,0,0
33,3,1,1,4,659.5,0,1,0,1,1,0,0,0,1,0,0,0,1
34,1,2,1,2,1258.0,0,0,0,0,1,0,0,0,0,1,0,1,0
35,1,2,1,4,875.25,0,0,0,1,0,0,1,1,0,0,1,0,0
36,2,2,2,2,675.75,0,1,0,1,1,0,0,0,0,1,0,0,1
37,1,2,1,4,1095.75,0,1,0,0,1,0,0,0,0,1,0,0,1
38,1,1,2,8,1285.0,0,1,0,0,1,0,0,1,0,0,0,1,0
39,1,2,1,3,1079.25,0,1,1,1,1,0,0,0,1,0,0,0,1
40,1,1,1,3,1119.75,0,0,1,1,1,0,0,0,1,0,1,0,0
42,1,1,1,4,834.75,0,1,0,0,0,1,0,0,0,1,0,0,1
43,2,3,1,3,1044.75,0,0,0,1,1,0,0,1,0,0,0,0,1
44,1,2,1,2,838.75,0,1,0,0,0,0,1,0,0,1,0,1,0
45,1,2,1,5,851.25,1,1,1,1,1,0,0,1,0,0,0,1,0
46,1,2,1,6,1040.25,0,0,0,1,1,0,0,0,0,1,0,0,1
47,1,2,1,3,987.0,0,0,1,0,1,0,0,0,1,0,1,0,0
48,1,1,2,3,822.0,0,1,0,0,1,0,0,0,0,1,0,1,0
49,2,1,1,5,650.5,0,0,1,1,0,0,1,0,0,1,1,0,0
50,1,2,1,2,931.75,1,1,0,1,1,0,0,0,1,0,1,0,0
51,1,1,1,3,988.0,0,0,0,1,0,1,0,0,0,1,0,0,1
52,1,1,1,4,1145.5,0,0,0,0,0,0,1,0,0,1,0,0,1
53,3,1,1,4,1162.5,0,1,0,0,0,0,1,0,0,1,0,1,0
54,1,2,2,3,954.25,0,1,0,1,1,0,0,0,0,1,1,0,0
55,1,4,2,5,1301.25,0,1,0,1,0,0,1,1,0,0,0,0,1
56,1,2,1,4,1148.75,0,0,0,1,0,1,0,0,0,1,0,0,1
57,1,1,1,2,1192.75,1,1,0,1,1,0,0,0,1,0,0,0,1
58,1,2,3,2,1195.5,0,1,0,1,0,1,0,0,0,1,1,0,0
59,1,2,1,3,1351.5,0,1,0,1,1,0,0,0,0,1,1,0,0
60,2,1,1,4,1062.25,0,1,0,0,0,1,0,0,0,1,1,0,0
61,1,2,1,2,1147.25,0,0,0,1,0,1,0,0,0,1,1,0,0
62,1,1,1,3,1308.5,0,0,0,1,0,1,0,0,0,1,0,1,0
63,2,2,1,2,363.0,0,1,0,0,0,1,0,0,0,1,1,0,0
64,1,1,2,4,929.5,0,0,0,1,0,1,0,0,0,1,0,1,0
65,1,2,1,2,718.0,0,1,0,0,0,1,0,0,1,0,0,1,0
66,1,1,1,3,1193.25,0,0,0,1,0,1,0,1,0,0,1,0,0
67,1,3,1,2,957.75,0,0,0,1,1,0,0,0,0,1,0,0,1
68,2,2,1,4,1050.0,0,1,0,0,0,0,1,0,0,1,0,1,0
69,2,2,1,5,1266.5,0,1,0,1,0,0,1,0,0,1,1,0,0
70,1,4,1,2,1124.75,0,1,0,1,1,0,0,0,0,1,1,0,0
71,3,2,2,1,1059.75,0,0,0,0,1,0,0,1,0,0,1,0,0
72,1,1,1,1,1014.25,0,1,0,0,0,1,0,0,0,1,1,0,0
73,1,1,1,3,891.25,0,0,0,1,1,0,0,0,1,0,1,0,0
74,1,2,2,5,1329.5,1,1,0,1,0,1,0,1,0,0,0,1,0
75,1,3,2,4,1023.5,0,0,0,0,1,0,0,0,0,1,0,0,1
76,1,1,1,5,908.5,1,1,0,1,0,1,0,0,0,1,0,1,0
77,1,1,1,3,731.5,0,0,0,1,0,1,0,1,0,0,0,1,0
78,1,2,1,2,793.5,0,1,0,0,0,0,1,0,1,0,0,0,1
80,1,2,1,4,970.5,0,1,0,1,0,1,0,0,0,1,0,0,1
81,1,2,1,4,995.25,0,0,0,1,0,1,0,1,0,0,0,1,0
82,1,2,1,3,904.0,0,1,0,1,0,0,1,0,0,1,0,0,1
83,2,1,1,5,1128.5,0,1,0,1,0,1,0,1,0,0,1,0,0
84,3,2,1,3,1102.75,0,1,0,1,1,0,0,0,0,1,0,0,1
85,1,1,1,4,976.25,0,1,0,1,0,1,0,0,0,1,1,0,0
86,2,2,1,5,839.75,0,0,0,1,1,0,0,0,0,1,1,0,0
87,1,2,1,4,1293.0,0,1,0,0,0,0,1,0,0,1,0,0,1
88,2,2,1,5,819.5,0,1,0,1,0,1,0,0,0,1,1,0,0
89,2,2,2,3,1094.5,0,1,0,1,1,0,0,0,0,1,0,1,0
90,1,1,1,2,1247.25,0,1,1,1,0,0,1,0,1,0,0,1,0
92,1,3,1,2,1144.75,0,0,0,1,0,1,0,0,0,1,1,0,0
93,1,1,1,3,909.75,0,0,0,0,1,0,0,0,1,0,0,0,1
94,1,3,1,3,976.25,0,1,1,1,0,1,0,0,0,1,0,1,0
95,2,2,3,4,741.0,0,1,0,1,0,0,1,0,1,0,0,0,1
96,1,1,1,2,1343.75,0,1,0,1,1,0,0,0,1,0,0,0,1
97,2,3,1,3,1454.5,1,0,0,1,0,0,1,0,1,0,0,1,0
99,2,1,1,3,1185.75,0,0,1,1,0,0,1,0,1,0,0,0,1
100,1,2,1,3,1210.75,0,0,0,1,0,1,0,0,1,0,1,0,0
102,1,1,1,2,1033.75,0,0,1,1,0,1,0,0,1,0,1,0,0
103,2,2,1,5,963.0,0,0,0,1,0,1,0,1,0,0,0,1,0
104,1,2,3,5,1025.75,0,1,0,1,0,1,0,0,0,1,1,0,0
105,1,1,1,5,1071.75,0,0,0,1,0,0,1,0,1,0,1,0,0
106,1,2,2,3,1039.5,0,0,0,1,0,1,0,0,1,0,0,1,0
107,1,3,1,3,979.25,0,1,0,1,1,0,0,0,0,1,0,1,0
108,1,2,1,1,905.5,0,1,0,1,0,0,1,1,0,0,1,0,0
109,1,2,1,5,924.0,0,0,1,1,0,1,0,1,0,0,0,0,1
110,1,1,1,2,1061.75,0,1,0,1,0,1,0,0,1,0,0,1,0
111,1,3,2,1,816.5,0,1,1,0,0,0,1,0,0,1,0,0,1
112,1,2,1,5,1082.5,1,0,1,1,1,0,0,1,0,0,1,0,0
113,2,1,1,4,928.25,0,1,0,1,0,1,0,0,0,1,0,1,0
114,1,2,1,3,1397.25,0,1,0,1,0,0,1,1,0,0,0,0,1
115,2,1,2,5,1034.5,0,1,0,0,0,0,1,0,1,0,0,1,0
116,1,2,1,5,738.5,0,1,0,1,1,0,0,0,0,1,0,1,0
117,1,2,1,4,1251.5,0,1,0,1,0,1,0,1,0,0,1,0,0
118,1,1,1,5,1153.75,0,1,0,1,0,0,1,0,1,0,1,0,0
119,1,2,1,4,864.0,0,1,0,1,0,1,0,1,0,0,0,0,1
120,1,3,1,2,1155.5,0,0,0,0,0,1,0,0,0,1,1,0,0
121,1,1,2,5,1090.5,0,1,0,0,0,1,0,1,0,0,1,0,0
122,1,2,1,4,1090.5,0,0,0,0,0,1,0,0,1,0,0,0,1
123,1,2,1,3,773.75,0,0,0,1,1,0,0,0,1,0,0,1,0
124,1,2,1,3,1052.0,0,1,0,1,1,0,0,0,0,1,0,0,1
125,1,2,1,4,944.25,0,1,0,1,1,0,0,0,0,1,0,0,1
126,1,1,2,4,1147.25,0,0,0,0,0,0,1,0,0,1,1,0,0
127,1,2,1,3,1159.5,0,0,0,1,0,1,0,1,0,0,1,0,0
128,1,1,1,3,836.5,0,1,0,0,1,0,0,1,0,0,1,0,0
129,2,2,1,3,1057.75,0,0,0,1,0,1,0,0,0,1,0,0,1
130,1,3,1,5,714.75,0,1,0,0,0,1,0,0,0,1,0,0,1
131,2,2,2,3,811.5,1,1,0,1,1,0,0,1,0,0,0,0,1
132,1,2,1,3,865.75,0,0,0,0,0,1,0,0,0,1,1,0,0
133,1,1,1,3,887.25,0,1,0,1,0,1,0,0,0,1,0,1,0
135,1,2,1,3,1083.0,0,1,0,1,0,0,1,1,0,0,1,0,0
137,1,2,1,2,877.75,0,0,0,0,0,1,0,0,0,1,0,1,0
138,1,2,1,3,691.5,0,0,0,0,1,0,0,0,0,1,1,0,0
139,2,2,2,4,814.5,0,1,0,1,1,0,0,0,1,0,0,0,1
140,1,2,1,4,955.5,0,1,0,1,0,0,1,0,0,1,0,0,1
141,1,2,1,4,1281.5,0,0,0,1,0,1,0,1,0,0,1,0,0
142,1,2,1,3,937.5,0,0,1,1,1,0,0,1,0,0,0,1,0
143,3,2,1,3,919.75,0,0,1,1,0,0,1,0,0,1,0,0,1
144,3,1,1,3,879.75,0,1,1,1,0,0,1,0,0,1,1,0,0
145,1,4,1,4,1181.0,0,0,1,0,0,0,1,0,0,1,0,1,0
146,1,1,2,3,1153.5,0,1,0,0,1,0,0,0,1,0,0,0,1
147,1,2,1,4,794.25,0,1,0,1,0,0,1,1,0,0,1,0,0
148,1,3,1,4,927.25,0,1,1,1,0,0,1,0,0,1,0,1,0
150,1,1,1,5,1156.25,0,0,0,0,0,1,0,0,1,0,0,0,1
151,1,2,1,4,1121.5,0,1,1,0,1,0,0,1,0,0,0,1,0
152,1,2,1,4,1203.0,0,0,0,1,0,1,0,1,0,0,0,0,1
153,2,1,1,1,246.25,0,0,0,0,0,0,1,1,0,0,0,1,0
154,2,1,1,4,1454.75,0,0,0,1,1,0,0,0,1,0,0,1,0
155,1,2,1,2,687.0,0,1,0,0,0,0,1,1,0,0,0,1,0
156,2,1,1,3,928.0,0,1,1,1,0,0,1,1,0,0,0,1,0
157,1,2,1,2,933.0,0,1,0,0,0,0,1,1,0,0,0,1,0
158,3,1,1,5,1133.25,1,1,0,0,0,1,0,0,0,1,0,1,0
159,1,3,2,5,1301.5,0,0,0,1,0,1,0,0,0,1,0,1,0
160,2,1,1,2,1199.0,0,0,0,1,0,1,0,1,0,0,0,0,1
161,2,1,1,3,1084.25,0,0,0,1,0,0,1,0,0,1,0,1,0
162,1,2,1,2,1094.5,0,1,0,0,0,1,0,0,1,0,1,0,0
163,1,1,1,3,1104.0,0,0,1,1,0,0,1,1,0,0,1,0,0
164,1,1,1,4,1042.5,0,0,0,1,1,0,0,1,0,0,0,1,0
165,1,1,1,5,1089.75,0,1,0,1,0,1,0,0,0,1,1,0,0
166,1,2,1,3,974.25,0,1,0,1,0,0,1,0,0,1,0,0,1
167,2,2,1,3,991.5,0,1,0,1,1,0,0,0,0,1,1,0,0
168,1,2,1,3,1204.25,0,1,1,1,0,0,1,0,1,0,0,0,1
169,1,2,1,5,865.0,0,1,0,0,1,0,0,0,0,1,0,1,0
170,1,2,1,2,1144.0,0,1,0,1,0,0,1,0,0,1,1,0,0
171,1,3,2,4,958.5,0,0,0,1,1,0,0,0,0,1,0,0,1
172,1,2,2,3,1056.25,0,0,0,1,0,1,0,0,0,1,0,1,0
173,1,3,1,3,695.0,0,0,0,1,0,0,1,0,0,1,0,0,1
174,1,4,1,2,1237.5,0,1,0,1,0,1,0,0,1,0,1,0,0
175,1,2,1,5,1034.0,0,0,0,1,0,1,0,0,1,0,1,0,0
176,1,1,1,4,1246.5,0,0,0,1,0,1,0,1,0,0,1,0,0
177,1,2,1,2,998.75,0,0,0,0,0,1,0,0,0,1,0,1,0
178,1,2,1,3,1028.0,0,1,0,1,0,0,1,1,0,0,0,0,1
179,2,2,1,2,320.0,0,1,0,0,0,0,1,0,0,1,1,0,0
182,2,3,1,2,240.0,0,0,1,0,1,0,0,0,0,1,0,1,0
184,1,1,1,3,1145.75,0,0,0,0,1,0,0,1,0,0,0,1,0
185,3,2,1,6,1292.5,0,1,0,0,0,0,1,0,0,1,0,1,0
186,1,2,2,3,1186.0,0,0,1,1,0,0,1,0,0,1,1,0,0
187,2,1,1,5,1135.25,0,1,0,1,1,0,0,0,0,1,1,0,0
188,1,3,1,4,1279.25,0,0,0,1,0,1,0,0,1,0,0,1,0
189,1,2,2,3,1162.0,0,1,0,1,1,0,0,1,0,0,0,1,0
190,1,2,1,3,954.5,0,1,0,0,0,1,0,0,0,1,0,1,0
191,1,2,1,3,1073.25,0,1,0,1,0,1,0,0,0,1,0,0,1
192,1,1,1,4,889.0,0,0,0,1,0,0,1,0,0,1,0,0,1
193,1,1,1,3,294.25,0,0,0,0,0,0,1,0,0,1,0,1,0
194,2,3,1,3,1047.5,0,1,0,1,1,0,0,0,1,0,0,1,0
195,2,1,1,3,661.25,0,0,0,1,1,0,0,0,1,0,0,1,0
197,1,2,2,3,1059.0,0,1,0,1,0,1,0,1,0,0,0,0,1
199,1,1,1,4,1419.5,0,1,0,1,0,0,1,1,0,0,0,1,0
201,1,2,1,3,1122.5,0,0,0,0,0,0,1,0,0,1,1,0,0
202,2,1,1,4,1250.75,0,1,0,0,0,1,0,0,0,1,0,1,0
203,1,3,2,2,1057.0,0,0,0,1,1,0,0,0,0,1,1,0,0
204,1,1,2,4,1195.0,0,1,0,0,0,0,1,1,0,0,0,1,0
205,2,1,1,3,936.25,0,0,1,1,1,0,0,0,0,1,1,0,0
206,1,1,1,5,791.5,0,1,0,1,1,0,0,1,0,0,0,1,0
207,2,1,1,4,1426.0,0,0,0,1,0,1,0,0,0,1,1,0,0
208,2,2,1,4,764.75,0,0,0,1,1,0,0,0,1,0,1,0,0
209,1,2,1,3,830.0,0,0,0,1,1,0,0,0,0,1,1,0,0
210,1,2,1,3,1162.25,0,0,0,0,1,0,0,0,1,0,1,0,0
211,2,2,2,3,1065.5,0,0,0,1,0,1,0,0,0,1,1,0,0
212,1,1,1,3,1022.25,0,0,1,1,0,1,0,0,0,1,0,1,0
213,1,4,1,5,1181.0,0,1,0,1,0,1,0,0,0,1,0,1,0
215,2,2,2,2,1043.25,0,0,0,0,0,1,0,0,1,0,0,1,0
217,1,2,1,4,856.0,0,1,0,0,1,0,0,1,0,0,0,0,1
218,1,2,1,5,390.75,0,0,0,0,1,0,0,0,0,1,0,0,1
219,1,3,2,4,1101.5,0,1,0,0,1,0,0,0,1,0,0,1,0
220,1,2,1,4,1016.5,0,0,0,0,0,0,1,0,1,0,0,0,1
221,2,3,1,5,287.75,0,0,0,1,0,1,0,0,0,1,1,0,0
222,1,3,1,6,841.25,0,0,0,0,0,1,0,0,1,0,0,1,0
223,1,3,2,6,911.75,0,1,0,1,0,1,0,0,0,1,0,1,0
224,1,1,1,3,1141.5,1,0,0,0,1,0,0,0,1,0,0,1,0
225,1,1,1,4,946.25,0,0,0,1,1,0,0,0,0,1,1,0,0
226,1,3,1,5,1190.25,0,0,0,1,0,1,0,0,1,0,1,0,0
227,1,3,1,4,924.0,0,0,0,1,1,0,0,0,0,1,1,0,0
228,1,2,1,4,823.75,0,1,0,0,0,1,0,0,1,0,0,1,0
229,1,3,1,4,1006.0,0,1,0,0,0,0,1,0,0,1,1,0,0
230,1,1,1,4,1008.75,0,0,0,1,0,0,1,0,1,0,0,1,0
231,1,2,1,3,1128.0,0,0,0,0,0,0,1,0,1,0,0,0,1
232,2,2,1,1,1340.5,0,1,0,1,0,1,0,1,0,0,0,1,0
233,1,3,1,3,1371.0,0,1,1,0,0,0,1,0,1,0,0,1,0
234,1,1,2,3,1331.25,0,0,0,0,0,1,0,0,0,1,0,1,0
235,1,2,1,3,704.5,0,1,1,1,0,0,1,0,1,0,1,0,0
236,1,1,2,3,1509.0,0,1,0,1,1,0,0,0,0,1,1,0,0
238,1,1,1,2,1034.0,0,1,0,1,1,0,0,1,0,0,0,0,1
239,1,3,1,5,1007.25,0,1,0,0,1,0,0,0,0,1,0,1,0
240,1,3,1,4,874.0,0,0,0,1,1,0,0,0,0,1,1,0,0
241,2,1,2,4,1148.0,0,0,0,1,0,0,1,0,0,1,1,0,0
243,1,2,1,3,962.75,0,1,0,0,0,0,1,0,0,1,1,0,0
244,1,4,1,5,1437.75,0,1,0,0,0,0,1,0,0,1,0,1,0
245,1,1,1,4,1281.5,0,0,0,1,1,0,0,0,1,0,1,0,0
246,1,2,1,3,1029.5,0,0,0,1,1,0,0,0,0,1,1,0,0
247,1,2,1,2,883.75,0,1,0,0,1,0,0,0,1,0,1,0,0
248,1,4,2,4,1144.5,0,0,0,0,1,0,0,0,0,1,0,1,0
249,1,2,2,3,1117.0,0,0,0,1,0,0,1,0,0,1,0,0,1
250,1,1,1,5,1047.75,1,0,0,1,1,0,0,1,0,0,0,0,1
251,1,4,1,4,992.5,0,1,0,1,1,0,0,0,1,0,0,0,1
252,1,1,1,1,1065.25,0,0,0,1,1,0,0,0,1,0,1,0,0
253,1,4,1,3,1526.0,0,1,0,0,0,0,1,0,1,0,0,1,0
255,2,1,2,3,342.5,0,0,0,0,0,1,0,0,0,1,1,0,0
256,1,3,1,5,935.75,0,0,0,0,1,0,0,0,0,1,0,0,1
257,1,1,1,1,1058.5,0,1,0,1,0,0,1,0,1,0,0,1,0
258,1,3,1,3,855.0,0,0,0,1,0,0,1,0,0,1,0,0,1
259,1,1,2,5,1263.0,0,1,0,0,0,1,0,0,0,1,0,0,1
260,2,1,1,6,1094.25,0,0,0,1,0,1,0,0,0,1,0,0,1
262,1,1,2,3,1265.0,0,1,0,0,0,1,0,0,0,1,0,1,0
263,1,4,1,4,1034.0,1,1,0,0,1,0,0,0,0,1,0,1,0
264,1,2,2,2,1210.25,0,1,0,1,0,0,1,0,0,1,0,1,0
265,1,2,1,3,1150.5,0,0,0,1,0,1,0,0,1,0,1,0,0
266,2,2,1,3,691.5,0,1,0,1,0,0,1,0,1,0,0,0,1
267,1,2,1,3,1296.25,0,0,0,1,0,0,1,0,0,1,0,0,1
268,1,2,2,3,690.5,0,0,0,1,0,0,1,0,0,1,0,0,1
269,1,1,1,4,1161.25,0,0,0,1,0,1,0,0,0,1,0,0,1
270,1,3,1,1,874.25,0,0,1,1,0,1,0,0,1,0,0,1,0
271,1,2,1,2,1272.75,0,1,0,1,0,1,0,0,1,0,1,0,0
272,2,1,1,3,1028.75,0,0,0,0,1,0,0,0,1,0,0,1,0
273,2,1,1,4,677.25,0,0,0,0,0,1,0,0,0,1,0,0,1
274,1,3,1,4,1053.25,0,1,0,0,1,0,0,1,0,0,0,1,0
275,1,1,1,3,1022.0,0,1,0,0,0,0,1,0,1,0,1,0,0
276,1,3,2,3,1024.0,0,0,0,1,0,0,1,0,0,1,0,0,1
277,2,1,1,1,887.25,1,1,0,1,0,0,1,1,0,0,0,1,0
278,1,2,2,4,1163.25,0,0,0,0,1,0,0,0,0,1,0,0,1
280,1,4,1,3,1164.5,0,0,0,1,0,0,1,0,0,1,1,0,0
281,1,2,1,4,984.0,1,1,1,1,0,1,0,0,1,0,0,1,0
282,1,2,1,4,735.75,0,0,1,1,1,0,0,0,1,0,0,0,1
283,1,2,1,3,1176.0,0,0,0,1,0,1,0,0,0,1,1,0,0
284,1,3,2,5,1504.5,0,1,0,0,1,0,0,0,0,1,0,0,1
285,2,4,1,3,881.25,1,1,0,1,0,0,1,0,1,0,0,1,0
286,1,2,1,3,1168.5,0,1,0,1,0,1,0,0,0,1,0,1,0
287,2,3,2,3,1107.5,1,0,0,1,0,1,0,0,1,0,0,1,0
289,1,3,2,1,1033.75,0,1,0,0,0,0,1,0,1,0,1,0,0
290,1,1,1,4,742.25,0,1,0,1,0,0,1,0,0,1,1,0,0
291,2,2,1,3,1423.25,0,1,0,1,0,1,0,0,0,1,1,0,0
292,1,1,1,4,239.25,0,0,1,1,1,0,0,0,0,1,1,0,0
293,1,2,1,3,1143.75,0,1,0,0,0,0,1,0,0,1,1,0,0
294,1,2,1,5,828.0,0,1,0,0,1,0,0,0,0,1,1,0,0
295,1,1,1,4,873.25,0,0,1,0,1,0,0,0,0,1,1,0,0
296,1,3,1,4,734.0,0,1,0,1,0,1,0,1,0,0,0,0,1
297,1,1,1,4,661.25,0,1,0,1,0,1,0,0,0,1,1,0,0
298,1,1,1,3,1159.25,0,1,0,1,0,0,1,1,0,0,1,0,0
299,1,3,1,2,1005.5,0,1,1,0,0,0,1,0,0,1,0,0,1
300,1,2,1,4,896.25,1,1,0,1,0,1,0,1,0,0,0,1,0
301,1,2,2,5,1101.75,0,0,0,1,1,0,0,0,0,1,1,0,0
302,1,2,1,4,278.0,0,1,1,0,0,1,0,0,1,0,0,1,0
303,2,3,1,5,715.25,0,0,1,0,0,0,1,0,0,1,0,0,1
304,1,1,1,5,1611.5,0,0,0,1,0,0,1,0,0,1,0,1,0
305,2,2,1,3,914.25,0,0,0,0,0,0,1,1,0,0,1,0,0
306,3,1,1,4,253.25,0,0,0,1,0,0,1,1,0,0,0,1,0
307,1,3,1,4,1035.25,0,0,0,0,0,1,0,0,1,0,0,0,1
308,2,1,1,2,1261.75,0,0,1,0,1,0,0,0,1,0,0,0,1
309,1,2,1,3,275.5,0,1,0,0,0,0,1,0,0,1,0,0,1
310,1,3,1,5,755.5,0,1,0,0,1,0,0,0,0,1,0,0,1
311,1,1,1,3,1295.25,0,1,0,1,1,0,0,0,1,0,0,0,1
312,1,3,1,2,944.5,1,1,1,1,1,0,0,0,0,1,0,0,1
313,1,2,2,2,1148.25,0,0,0,1,0,1,0,0,0,1,1,0,0
315,2,3,1,4,756.0,0,1,0,1,0,0,1,0,0,1,1,0,0
316,2,1,1,4,1486.75,0,1,0,1,1,0,0,1,0,0,0,1,0
317,1,1,1,5,1076.0,0,1,1,0,0,0,1,0,1,0,0,1,0
318,1,2,1,5,1094.0,0,1,1,1,1,0,0,0,0,1,1,0,0
319,1,2,1,4,287.25,0,0,0,1,0,0,1,0,1,0,0,0,1
320,1,1,1,4,916.5,1,1,0,1,1,0,0,0,0,1,0,1,0
321,1,3,1,3,1376.75,0,1,0,0,0,1,0,0,1,0,0,0,1
322,1,2,1,4,648.75,0,1,0,0,1,0,0,0,0,1,0,1,0
324,1,2,1,4,683.25,0,1,0,1,0,0,1,0,1,0,0,1,0
325,1,1,1,5,979.25,0,0,0,0,0,0,1,0,0,1,0,1,0
326,1,2,2,4,913.75,0,1,0,0,0,1,0,1,0,0,1,0,0
327,1,4,1,3,755.25,0,0,1,1,1,0,0,0,0,1,1,0,0
328,1,2,1,2,1000.75,0,0,0,0,0,1,0,0,0,1,0,1,0
329,1,2,1,5,1107.0,0,1,0,1,0,0,1,0,0,1,0,1,0
330,1,2,1,5,762.25,0,0,0,1,0,0,1,0,0,1,1,0,0
331,1,2,1,3,1223.5,0,0,0,1,0,0,1,1,0,0,0,0,1
332,1,2,1,2,932.5,0,1,0,1,1,0,0,0,1,0,0,0,1
333,1,2,1,3,967.75,0,0,0,1,0,1,0,0,0,1,0,1,0
335,2,1,2,2,1003.75,0,1,0,0,0,0,1,0,0,1,0,1,0
336,1,2,1,3,1221.0,0,1,0,1,1,0,0,0,0,1,1,0,0
337,3,1,1,4,915.5,0,1,0,1,0,1,0,1,0,0,0,1,0
338,1,3,1,3,984.25,0,1,0,1,0,1,0,0,0,1,0,0,1
339,1,2,1,2,1266.5,0,0,1,1,0,1,0,0,0,1,1,0,0
340,2,2,1,4,899.5,0,1,0,1,0,0,1,1,0,0,0,0,1
341,1,3,1,2,1224.5,0,1,0,0,0,1,0,1,0,0,0,0,1
343,2,1,2,4,1057.75,0,0,0,1,0,1,0,0,0,1,1,0,0
344,1,4,1,2,1196.25,0,0,0,1,0,0,1,0,1,0,1,0,0
346,1,2,2,3,1113.25,0,0,0,1,1,0,0,0,0,1,1,0,0
347,2,2,1,4,969.25,0,0,1,1,0,0,1,0,0,1,1,0,0
348,1,1,1,5,823.25,0,0,0,1,1,0,0,0,0,1,0,1,0
349,2,1,1,4,992.25,1,1,0,1,0,0,1,0,0,1,0,1,0
350,3,2,2,4,750.75,0,1,0,0,0,1,0,0,0,1,0,1,0
351,1,1,2,4,1101.75,0,0,0,1,0,0,1,0,0,1,1,0,0
352,1,3,1,3,756.75,0,1,0,0,1,0,0,1,0,0,0,1,0
353,1,1,1,5,1092.0,0,0,0,1,0,0,1,1,0,0,0,1,0
354,2,3,1,4,1072.0,0,0,0,1,0,0,1,0,0,1,0,0,1
355,1,2,1,3,910.25,0,1,0,1,0,1,0,0,1,0,1,0,0
356,1,3,1,5,884.5,0,0,0,1,0,0,1,0,0,1,0,0,1
357,1,3,1,6,1007.75,0,1,0,1,0,0,1,0,1,0,0,0,1
358,2,2,1,3,1069.0,0,0,1,1,0,0,1,1,0,0,1,0,0
359,1,2,1,3,257.5,0,0,0,1,0,1,0,0,1,0,0,1,0
360,1,1,1,3,1095.25,0,1,0,0,1,0,0,0,0,1,0,1,0
361,1,2,2,3,1157.5,0,0,0,1,0,1,0,1,0,0,0,1,0
362,1,2,2,2,1015.75,0,0,0,0,1,0,0,0,0,1,0,0,1
363,2,2,1,4,986.5,0,1,0,0,1,0,0,0,1,0,1,0,0
364,1,3,1,3,962.0,0,0,1,1,0,1,0,1,0,0,0,0,1
365,1,2,1,3,940.75,0,0,0,1,0,1,0,0,0,1,0,0,1
